video_name,scene_number,resolution,square_size,blocks_to_remove,alpha,neighbor_length,ref_stride,subvideo_length,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,3,640x360,20,10,0.0,10,10,12,396000,1,27,17.235000000000003,35.9375,0.9363,62.861767633333336,49.044000000000004,31.526333333333334,0.9169166666666668,52.308196566666666
Tears_of_Steel_4k,3,640x360,20,10,0.0,10,10,48,396000,1,26,17.235000000000003,35.9375,0.9363,62.861767633333336,48.16833333333334,31.594499999999996,0.91685,52.320077133333335
Tears_of_Steel_4k,3,640x360,20,10,0.5,2,2,12,396000,4,37,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,50.78549999999999,31.334999999999997,0.9186499999999999,53.93413704999999
Tears_of_Steel_4k,3,640x360,20,10,0.5,2,2,48,396000,1,55,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,49.31766666666667,31.45,0.9185833333333332,53.9444937
Tears_of_Steel_4k,3,640x360,20,10,0.5,2,10,12,396000,2,27,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,51.86683333333333,31.27266666666667,0.9189666666666666,53.88650406666667
Tears_of_Steel_4k,3,640x360,20,10,0.5,2,10,48,396000,1,32,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,49.988500000000016,31.39683333333333,0.9189833333333333,53.927169283333335
Tears_of_Steel_4k,3,640x360,20,10,0.5,10,2,12,396000,1,25,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,50.48866666666667,31.39833333333333,0.9190166666666666,53.947771083333336
Tears_of_Steel_4k,3,640x360,20,10,0.5,10,2,48,396000,2,28,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,49.78999999999999,31.449833333333334,0.9186166666666666,53.95137261666666
Tears_of_Steel_4k,3,640x360,20,10,0.5,10,10,12,396000,1,27,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,50.75066666666668,31.376166666666666,0.91905,53.94036321666667
Tears_of_Steel_4k,3,640x360,20,10,0.5,10,10,48,396000,2,26,17.317333333333337,35.914833333333334,0.9361166666666667,62.547101383333334,50.02516666666667,31.437,0.9189833333333334,53.948769350000006
Tears_of_Steel_4k,3,640x352,16,10,1.0,2,2,12,422000,4,43,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.67566666666667,32.885333333333335,0.9272000000000001,58.14492726666666
Tears_of_Steel_4k,3,640x352,16,10,1.0,2,2,48,422000,2,53,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.72416666666667,32.876333333333335,0.9270333333333334,58.143830783333335
Tears_of_Steel_4k,3,640x352,16,10,1.0,2,10,12,422000,1,27,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.93266666666667,32.855666666666664,0.9274333333333333,58.11797573333333
Tears_of_Steel_4k,3,640x352,16,10,1.0,2,10,48,422000,2,27,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.79866666666667,32.872,0.9273333333333333,58.13887826666667
Tears_of_Steel_4k,3,640x352,16,10,1.0,10,2,12,422000,2,27,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.31399999999999,32.933166666666665,0.9274000000000001,58.15784825000001
Tears_of_Steel_4k,3,640x352,16,10,1.0,10,2,48,422000,1,28,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.461333333333336,32.915166666666664,0.9270666666666666,58.15645996666667
Tears_of_Steel_4k,3,640x352,16,10,1.0,10,10,12,422000,2,26,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.26466666666667,32.934333333333335,0.9274333333333333,58.1532774
Tears_of_Steel_4k,3,640x352,16,10,1.0,10,10,48,422000,2,27,16.285166666666665,36.17066666666667,0.93815,64.45827398333334,34.33033333333333,32.931333333333335,0.9273333333333333,58.15505985
Tears_of_Steel_4k,3,640x352,16,20,1.0,2,2,12,283000,3,38,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,110.66216666666668,27.841999999999995,0.90255,46.59164721666668
Tears_of_Steel_4k,3,640x352,16,20,1.0,2,2,48,283000,2,55,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,105.91516666666666,28.010833333333334,0.9020333333333334,46.618325950000006
Tears_of_Steel_4k,3,640x352,16,20,1.0,2,10,12,283000,2,27,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,112.89383333333335,27.8025,0.9035666666666665,46.490169066666674
Tears_of_Steel_4k,3,640x352,16,20,1.0,2,10,48,283000,1,31,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,102.64866666666667,28.160000000000004,0.9034166666666665,46.57161803333334
Tears_of_Steel_4k,3,640x352,16,20,1.0,10,2,12,283000,1,25,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,105.94683333333332,28.098666666666666,0.9039333333333334,46.614116533333345
Tears_of_Steel_4k,3,640x352,16,20,1.0,10,2,48,283000,2,30,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,100.53766666666668,28.295166666666667,0.9030333333333334,46.64599716666667
Tears_of_Steel_4k,3,640x352,16,20,1.0,10,10,12,283000,2,25,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,105.53083333333333,28.117500000000003,0.90405,46.60856975
Tears_of_Steel_4k,3,640x352,16,20,1.0,10,10,48,283000,1,27,22.3385,34.789833333333334,0.9269333333333333,54.733584516666674,101.1475,28.280666666666665,0.904,46.635694149999985
Tears_of_Steel_4k,3,640x352,16,30,1.0,2,2,12,143000,2,42,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,683.492,19.85666666666667,0.8268333333333333,30.856318783333332
Tears_of_Steel_4k,3,640x352,16,30,1.0,2,2,48,143000,2,57,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,717.3036666666667,19.65083333333333,0.8206666666666667,30.92598493333333
Tears_of_Steel_4k,3,640x352,16,30,1.0,2,10,12,143000,2,26,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,655.2206666666666,20.08866666666666,0.83515,30.670887166666663
Tears_of_Steel_4k,3,640x352,16,30,1.0,2,10,48,143000,2,30,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,724.2288333333335,19.651833333333332,0.8293833333333333,30.824108683333336
Tears_of_Steel_4k,3,640x352,16,30,1.0,10,2,12,143000,2,28,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,601.9916666666667,20.47283333333333,0.8390666666666665,30.871135266666663
Tears_of_Steel_4k,3,640x352,16,30,1.0,10,2,48,143000,1,31,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,668.3486666666668,19.959333333333333,0.8326333333333333,30.94413541666667
Tears_of_Steel_4k,3,640x352,16,30,1.0,10,10,12,143000,1,26,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,631.1451666666667,20.234,0.8385999999999998,30.87387778333333
Tears_of_Steel_4k,3,640x352,16,30,1.0,10,10,48,143000,1,26,39.07516666666667,32.32983333333333,0.9056666666666667,38.81119881666667,644.5391666666667,20.124666666666666,0.8387166666666666,30.914716499999997
Tears_of_Steel_4k,3,640x360,20,10,1.0,2,2,12,396000,3,40,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,48.50716666666667,31.543833333333332,0.9196500000000002,53.69602788333334
Tears_of_Steel_4k,3,640x360,20,10,1.0,2,2,48,396000,1,58,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,47.945000000000014,31.5735,0.9194333333333333,53.701871799999985
Tears_of_Steel_4k,3,640x360,20,10,1.0,2,10,12,396000,1,30,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,48.73633333333333,31.51733333333333,0.9200500000000001,53.657741216666665
Tears_of_Steel_4k,3,640x360,20,10,1.0,2,10,48,396000,1,29,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,47.92933333333333,31.578000000000007,0.9199000000000002,53.68325404999999
Tears_of_Steel_4k,3,640x360,20,10,1.0,10,2,12,396000,2,25,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,47.98233333333334,31.611166666666673,0.9199833333333334,53.707978183333324
Tears_of_Steel_4k,3,640x360,20,10,1.0,10,2,48,396000,1,35,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,47.29116666666667,31.641833333333338,0.9196333333333333,53.711131466666664
Tears_of_Steel_4k,3,640x360,20,10,1.0,10,10,12,396000,2,26,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,47.52066666666666,31.62566666666667,0.9200333333333334,53.700612
Tears_of_Steel_4k,3,640x360,20,10,1.0,10,10,48,396000,2,25,17.336666666666666,35.90866666666667,0.9359500000000001,62.70612940000001,47.05516666666666,31.66183333333333,0.9200000000000002,53.71026223333334
Tears_of_Steel_4k,3,640x360,20,20,0.0,2,2,12,218000,4,40,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,251.96383333333333,24.267500000000002,0.8712333333333336,34.347373866666665
Tears_of_Steel_4k,3,640x360,20,20,0.0,2,2,48,218000,1,55,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,211.501,24.98583333333334,0.8723500000000001,34.472297899999994
Tears_of_Steel_4k,3,640x360,20,20,0.0,2,10,12,218000,2,29,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,293.90650000000005,23.627333333333333,0.8722666666666666,34.11196805
Tears_of_Steel_4k,3,640x360,20,20,0.0,2,10,48,218000,1,30,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,231.86166666666665,24.606333333333332,0.8739333333333332,34.273960366666664
Tears_of_Steel_4k,3,640x360,20,20,0.0,10,2,12,218000,1,25,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,247.99466666666666,24.371666666666666,0.8744666666666667,34.377926499999994
Tears_of_Steel_4k,3,640x360,20,20,0.0,10,2,48,218000,1,28,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,216.43166666666667,24.936999999999998,0.8743000000000001,34.488775716666666
Tears_of_Steel_4k,3,640x360,20,20,0.0,10,10,12,218000,1,25,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,256.64866666666666,24.220333333333325,0.8745166666666667,34.35652815
Tears_of_Steel_4k,3,640x360,20,20,0.0,10,10,48,218000,2,26,28.297333333333327,33.757,0.9182166666666666,48.22738249999999,235.92533333333333,24.581666666666667,0.8751166666666667,34.40099061666667
Tears_of_Steel_4k,3,640x360,20,20,0.5,2,2,12,218000,4,37,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,263.10200000000003,24.08066666666667,0.8729833333333334,37.25222996666668
Tears_of_Steel_4k,3,640x360,20,20,0.5,2,2,48,218000,2,59,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,217.87366666666674,24.88783333333334,0.8740333333333333,37.388326966666675
Tears_of_Steel_4k,3,640x360,20,20,0.5,2,10,12,218000,1,29,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,311.3568333333333,23.378833333333333,0.8744333333333335,37.04614621666667
Tears_of_Steel_4k,3,640x360,20,20,0.5,2,10,48,218000,1,28,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,244.61000000000004,24.377833333333335,0.8759333333333333,37.25147661666667
Tears_of_Steel_4k,3,640x360,20,20,0.5,10,2,12,218000,1,27,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,259.94666666666666,24.204500000000003,0.8770666666666668,37.28743363333334
Tears_of_Steel_4k,3,640x360,20,20,0.5,10,2,48,218000,1,31,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,226.0355,24.780166666666673,0.8766333333333333,37.3845215
Tears_of_Steel_4k,3,640x360,20,20,0.5,10,10,12,218000,1,27,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,266.41566666666665,24.082666666666665,0.8770166666666669,37.24812541666667
Tears_of_Steel_4k,3,640x360,20,20,0.5,10,10,48,218000,2,28,27.9605,33.806999999999995,0.9182666666666666,48.805443866666664,242.85616666666667,24.476833333333335,0.8778333333333334,37.33459851666667
Tears_of_Steel_4k,3,640x360,20,20,1.0,2,2,12,218000,4,40,28.201666666666664,33.7765,0.9182666666666666,48.36425996666667,246.16466666666665,24.371833333333335,0.8739666666666666,38.44064938333334
Tears_of_Steel_4k,3,640x360,20,20,1.0,2,2,48,218000,2,55,28.201666666666664,33.7765,0.9182666666666666,48.36425996666667,205.47566666666668,25.159833333333335,0.8743333333333332,38.56338008333333
Tears_of_Steel_4k,3,640x360,20,20,1.0,2,10,12,218000,1,27,28.201666666666664,33.7765,0.9182666666666666,48.36425996666667,286.3103333333333,23.779999999999998,0.8762166666666666,38.25741456666666
Tears_of_Steel_4k,3,640x360,20,20,1.0,2,10,48,218000,1,31,28.201666666666664,33.7765,0.9182666666666666,48.36425996666667,230.7605,24.651500000000002,0.8768,38.45347408333334
Tears_of_Steel_4k,3,640x360,20,20,1.0,10,2,12,218000,2,26,28.201666666666664,33.7765,0.9182666666666666,48.36425996666667,246.40616666666662,24.406166666666667,0.8779166666666668,38.486851116666664
