experiment_name,video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,smoothing_factor,hnerv_ks,hnerv_enc_strds,hnerv_enc_dim,hnerv_fc_hw,hnerv_reduce,hnerv_lower_width,hnerv_dec_strds,hnerv_conv_type,hnerv_norm,hnerv_act,hnerv_workers,hnerv_batchSize,hnerv_epochs,hnerv_lr,hnerv_loss,hnerv_out_bias,hnerv_eval_freq,hnerv_quant_model_bit,hnerv_quant_embed_bit,propainter_neighbor_length,propainter_ref_stride,propainter_subvideo_length,propainter_mask_dilation,propainter_raft_iter,e2fgvi_step,e2fgvi_num_ref,e2fgvi_neighbor_stride,e2fgvi_savefps,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,lpips_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean,lpips_inp_mean,empty
2a68b39e10b1794d23c40a9b72e6d13d,drift-chicane,1600x352,32,20.0,0.75,834000,38,176,0.75,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,24,4.668653846153846,41.459230769230764,0.9726346153846154,85.55021151923077,0.0002192535139328702,83.69096153846156,28.910384615384615,0.8727307692307692,25.953555403846153,0.005191947539480208,
5259a1236721a81721ec273fee8b0328,flamingo,960x896,32,0.5,0.75,1056000,2182,751,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,100,0.001,Fusion6,tanh,1,8,6,8,4,48,0,30,,,,,152.74312500000002,26.47925,0.7819875,23.236961437499996,0.022338386368937747,514.9466249999999,21.156625,0.7197625000000001,4.3474080375,0.03326939488761123,
5e40814c94cab0598528b0241ea5b60c,cat-girl,1280x896,16,0.25,0.75,2062000,1540,1077,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,50,0.001,Fusion6,tanh,1,8,6,,,,,,5,1,2,24,115.2167415730337,27.675955056179774,0.8449550561797754,29.345265898876406,0.011456072586850123,229.61595505617979,24.585617977528095,0.7835955056179776,21.224302629213483,0.013921616447231357,
cf51adb18148bff629f5a3046fe59317,kite-walk,640x720,16,10.0,0.75,853000,546,433,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,50,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,454.64700000000005,21.658375,0.7464375000000001,0.0,0.01811191900633271,468.65725000000003,21.4985,0.7369875,0.037574225,0.01879579492378975,
d46162b827874128c2b96d8d5744ca79,bike-packing,1280x528,16,10.0,0.75,1439000,818,571,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,75,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,562.2746376811593,20.78753623188406,0.7314637681159422,2.12419231884058,0.051716035582881,482.1337681159421,21.340869565217393,0.7342608695652173,0.3906213188405797,0.05390563936553135,
9059b142c6d079a17dea047213699b67,kite-walk,960x512,32,20.0,0.75,409000,729,378,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,1,4,24,266.66112499999997,23.95675,0.76175,0.0,0.014219031890388534,202.602125,25.092624999999998,0.7654375000000001,0.13124348749999998,0.013699033949524117,
cd7bee8d3edd5031cb3459209143ca61,kid-football,640x896,16,0.25,0.5,1056000,55,243,0.75,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,18.64573529411765,35.716470588235296,0.94275,85.33069363235293,0.003744311596486012,116.08308823529413,27.94426470588235,0.888529411764706,49.95055402941176,0.01278624978080826,
75fc7e88f729ebb68371fe062346c852,kid-football,960x896,16,10.0,0.75,1732000,57,324,0.5,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,2,24,11.489264705882354,37.85382352941176,0.9594264705882353,91.2682318235294,0.0018080855764256384,73.54029411764704,29.72264705882353,0.9107205882352942,58.30872010294118,0.008373121422824998,
97b32e24deaea72d1c402d7668f286a5,gold-fish,960x720,16,10.0,0.75,1402000,1455,535,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,75,0.001,Fusion6,tanh,1,8,6,,,,,,5,1,2,24,52.896410256410256,30.92756410256411,0.8842692307692308,7.664248025641028,0.002796508336009837,165.60115384615386,25.95320512820513,0.8179102564102566,0.0,0.003223922348414042,
b2c6fca385aea5c100cc643ef5bfca66,flamingo,960x1072,16,20.0,0.5,1660000,852,692,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,75,0.001,Fusion6,tanh,10,8,6,,,,,,5,1,2,24,110.38499999999999,27.830624999999998,0.821,29.21602985,0.013323252298869145,359.0415,22.75125,0.7602,5.7368433375,0.02574793901294465,
