video_name,scene_number,resolution,square_size,horizontal_stride,vertical_stride,neighbor_length,ref_stride,subvideo_length,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_1080p,4,640x360,16,1,1,5,5,30,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,1,5,5,60,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,1,5,10,30,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,1,5,10,60,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,1,10,5,30,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,1,10,5,60,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,1,10,10,30,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,1,10,10,60,6.182352941176469,40.545042016806725,0.9652605042016807,65.41766831932772,58.73378151260505,31.186470588235295,0.8855210084033612,13.44941769747899
Tears_of_Steel_1080p,4,640x360,16,1,2,5,5,30,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,66.42798319327731,30.35647058823529,0.8859243697478991,10.491606420168065
Tears_of_Steel_1080p,4,640x360,16,1,2,5,5,60,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,66.96495798319329,30.313865546218487,0.8857563025210083,10.537683957983194
Tears_of_Steel_1080p,4,640x360,16,1,2,5,10,30,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,67.4916806722689,30.296722689075633,0.8860840336134452,10.067678210084036
Tears_of_Steel_1080p,4,640x360,16,1,2,5,10,60,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,67.14025210084033,30.31420168067227,0.88590756302521,10.384999798319328
Tears_of_Steel_1080p,4,640x360,16,1,2,10,5,30,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,66.13000000000001,30.39899159663866,0.8864621848739493,10.939231453781513
Tears_of_Steel_1080p,4,640x360,16,1,2,10,5,60,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,66.50873949579831,30.3763025210084,0.8863277310924369,10.939359403361346
Tears_of_Steel_1080p,4,640x360,16,1,2,10,10,30,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,66.45579831932773,30.384453781512605,0.886613445378151,10.733268672268906
Tears_of_Steel_1080p,4,640x360,16,1,2,10,10,60,6.1635294117647055,40.559327731092424,0.9654033613445377,65.5030909327731,66.39084033613446,30.38764705882352,0.8863865546218487,10.927889621848738
Tears_of_Steel_1080p,4,640x360,16,1,3,5,5,30,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,67.1627731092437,30.323697478991598,0.8857394957983193,7.856674915966387
Tears_of_Steel_1080p,4,640x360,16,1,3,5,5,60,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,67.28243697478992,30.332605042016798,0.8857142857142857,7.8273958739495795
Tears_of_Steel_1080p,4,640x360,16,1,3,5,10,30,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,69.96386554621847,30.139159663865545,0.8853445378151261,7.237978403361345
Tears_of_Steel_1080p,4,640x360,16,1,3,5,10,60,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,67.59470588235294,30.299243697478996,0.8859579831932773,7.637412865546218
Tears_of_Steel_1080p,4,640x360,16,1,3,10,5,30,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,66.57991596638654,30.36739495798319,0.8863697478991596,8.082543126050421
Tears_of_Steel_1080p,4,640x360,16,1,3,10,5,60,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,66.67487394957982,30.368487394957985,0.8864705882352941,8.061945546218487
Tears_of_Steel_1080p,4,640x360,16,1,3,10,10,30,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,67.72924369747899,30.29747899159664,0.8863025210084033,7.755481789915966
Tears_of_Steel_1080p,4,640x360,16,1,3,10,10,60,6.176134453781513,40.54983193277311,0.9653025210084034,65.35316259663865,66.5983193277311,30.372857142857143,0.8864621848739495,8.038244672268908
Tears_of_Steel_1080p,4,640x360,16,2,1,5,5,30,15.077142857142858,36.81100840336133,0.9336890756302523,30.990812478991597,77.84546218487395,29.767478991596644,0.8847647058823529,12.59748483193277
Tears_of_Steel_1080p,4,640x360,16,2,1,5,5,60,15.077142857142858,36.81100840336133,0.9336890756302523,30.990812478991597,75.28689075630251,29.881092436974786,0.8849999999999999,12.518640218487393
Tears_of_Steel_1080p,4,640x360,16,2,1,5,10,30,15.077142857142858,36.81100840336133,0.9336890756302523,30.990812478991597,83.82310924369747,29.604873949579833,0.8847226890756303,12.176614638655462
