video_name,scene_number,resolution,square_size,horizontal_stride,vertical_stride,neighbor_length,ref_stride,subvideo_length,bitrate,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,10,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.43019607843135,26.332549019607843,0.768686274509804,24.841461882352945
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,10,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.41549019607842,26.331176470588236,0.7685686274509804,24.84269029411765
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,10,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.40960784313725,26.33078431372549,0.7686078431372548,24.85311456862745
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,10,25,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,143.98607843137256,26.599999999999998,0.7734705882352941,25.68125574509804
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,10,50,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,140.288431372549,26.70254901960784,0.775921568627451,26.50147937254902
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,2,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,151.9827450980392,26.370196078431373,0.7676862745098038,25.380086647058825
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,2,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.01607843137253,26.478823529411763,0.7694509803921568,26.02032143137255
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,2,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,144.07078431372548,26.590980392156855,0.7725294117647059,26.56038378431373
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,3,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.43019607843135,26.332549019607843,0.768686274509804,24.841461882352945
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,3,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.3862745098039,26.469019607843137,0.7703725490196077,25.48699074509804
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,3,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,142.45529411764704,26.63921568627451,0.7741568627450982,26.418738509803926
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,5,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.43019607843135,26.332549019607843,0.768686274509804,24.841461882352945
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,5,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,143.3978431372549,26.613725490196078,0.7741960784313727,25.810546921568626
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,5,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,143.56901960784313,26.60882352941177,0.7740392156862747,25.803544254901965
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,5,25,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,137.596862745098,26.786078431372548,0.7778627450980392,26.76611798039216
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,10,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.43019607843135,26.332549019607843,0.768686274509804,24.841461882352945
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,10,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.41549019607842,26.331176470588236,0.7685686274509804,24.84269029411765
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,10,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.40960784313725,26.33078431372549,0.7686078431372548,24.85311456862745
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,10,25,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,143.98607843137256,26.599999999999998,0.7734705882352941,25.68125574509804
Tears_of_Steel_4k,9,1920x1080,20,2,2,3,10,50,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,140.288431372549,26.70254901960784,0.775921568627451,26.50147937254902
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,2,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.42,26.468431372549016,0.7700784313725489,25.549995980392158
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,2,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,144.3543137254902,26.583725490196084,0.7716470588235294,26.188957843137253
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,2,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,141.1454901960784,26.67686274509804,0.7737254901960785,26.814543196078425
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,3,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.42,26.468431372549016,0.7700784313725489,25.549995980392158
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,3,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,146.67333333333335,26.516470588235293,0.7698431372549019,26.017469333333327
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,3,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,142.88078431372548,26.625098039215683,0.7721372549019608,26.62532933333333
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,5,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.42,26.468431372549016,0.7700784313725489,25.549995980392158
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,5,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,142.3641176470588,26.641372549019607,0.7730588235294119,26.271123921568623
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,5,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,142.54117647058825,26.636078431372553,0.7730196078431374,26.266309588235295
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,5,25,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,137.51254901960783,26.78705882352941,0.7762745098039217,27.061859843137256
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,10,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.42,26.468431372549016,0.7700784313725489,25.549995980392158
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,10,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.37019607843135,26.469215686274506,0.7700980392156862,25.56947905882353
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,10,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.34960784313725,26.46960784313725,0.7700196078431372,25.56483984313725
Tears_of_Steel_4k,9,1920x1080,20,2,2,5,10,25,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,141.1719607843137,26.67941176470588,0.7739411764705884,26.30759292156863
