video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,smoothing_factor,hnerv_ks,hnerv_enc_strds,hnerv_enc_dim,hnerv_fc_hw,hnerv_reduce,hnerv_lower_width,hnerv_dec_strds,hnerv_conv_type,hnerv_norm,hnerv_act,hnerv_workers,hnerv_batchSize,hnerv_epochs,hnerv_lr,hnerv_loss,hnerv_out_bias,hnerv_eval_freq,hnerv_quant_model_bit,hnerv_quant_embed_bit,propainter_neighbor_length,propainter_ref_stride,propainter_subvideo_length,propainter_mask_dilation,propainter_raft_iter,e2fgvi_step,e2fgvi_num_ref,e2fgvi_neighbor_stride,e2fgvi_savefps,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean,empty
bmx-bumps,1600x1280,32,10.0,0.5,3766000,1274,643,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,37.67469387755102,32.9665306122449,0.8999795918367346,57.459974061224486,95.65122448979592,28.639387755102042,0.8678163265306121,32.314223673469385,
breakdance-flare,1600x1280,32,10.0,0.5,3766000,1236,696,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,47.715102040816326,31.38061224489796,0.8626122448979593,39.35375546938776,76.27367346938775,29.31877551020408,0.8283673469387756,23.8806213877551,
breakdance-flare,1600x1280,32,10.0,0.0,3766000,1290,696,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,47.60897959183673,31.39510204081633,0.8631632653061225,39.935189244897956,78.73510204081633,29.184693877551023,0.8279795918367346,23.873442163265306,
bmx-trees,1600x1280,32,10.0,0.0,3766000,1241,653,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,19.05142857142857,35.60204081632653,0.936530612244898,68.30859763265306,75.15714285714284,29.48816326530612,0.8953469387755102,23.702602612244903,
bmx-bumps,1600x1280,32,10.0,0.0,3766000,1214,612,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,39.883265306122446,32.759795918367345,0.8995306122448979,56.4297398367347,101.92938775510204,28.30979591836735,0.8672857142857143,31.36985657142857,
blackswan,1600x1280,32,10.0,0.0,3766000,1188,625,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,34.85795918367347,32.758979591836734,0.9089795918367348,51.874010142857145,53.88163265306124,30.841428571428565,0.8900816326530613,40.98836336734694,
bear,1600x1280,32,10.0,0.0,3766000,1243,633,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,91.41999999999997,28.525306122448985,0.8441224489795919,30.407904469387752,83.95673469387755,28.914897959183676,0.8609795918367348,35.25349755102041,
blackswan,1280x960,32,10.0,0.0,2202000,1261,471,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,59.25081632653061,30.456326530612245,0.8726122448979592,39.92925869387755,319.7651020408163,23.10816326530612,0.7071632653061225,1.4111751224489792,
bmx-bumps,1280x960,32,10.0,0.0,2202000,1247,450,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,63.833265306122435,30.634897959183675,0.8694897959183673,45.94262730612245,190.9628571428571,25.742244897959186,0.8085918367346938,13.336818102040818,
bmx-trees,1280x960,32,10.0,0.0,2202000,1215,484,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,34.77,32.98142857142857,0.9076326530612245,56.67812442857143,99.91408163265307,28.229795918367348,0.8636326530612245,20.235172836734694,
breakdance-flare,1280x960,32,10.0,0.0,2202000,1219,478,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,67.68571428571428,29.847346938775516,0.8186326530612245,35.040936367346944,337.62040816326527,22.89857142857143,0.6172244897959185,3.847899755102041,
bear,1280x960,16,20.0,0.0,2202000,1245,472,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,122.98142857142855,27.243877551020407,0.802673469387755,28.369198163265306,142.9161224489796,26.59367346938776,0.7870612244897959,18.39326287755102,
blackswan,1280x960,16,20.0,0.0,2202000,1229,483,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,59.4661224489796,30.434897959183672,0.8719183673469388,40.16005393877551,92.51020408163266,28.504489795918374,0.8375102040816327,22.696410897959183,
bmx-bumps,1280x960,16,20.0,0.0,2202000,1239,475,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,79.50020408163266,29.587551020408164,0.8568163265306122,39.471079448979594,207.21306122448985,25.338979591836736,0.794326530612245,10.531733204081632,
bmx-trees,1280x960,16,20.0,0.0,2202000,1227,498,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,34.16428571428572,33.075714285714284,0.9073877551020407,56.255587020408164,103.06795918367345,28.107755102040816,0.8512653061224489,15.987500795918367,
blackswan,1600x960,16,20.0,0.5,2888000,1488,554,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,56.01408163265306,30.69224489795918,0.8754285714285714,39.37520079591837,89.75775510204082,28.63918367346939,0.8365510204081632,21.014271204081634,
blackswan,1600x960,16,20.0,0.5,Usage: python bitrate_calculator.py <width> <height>,1,0,0.0,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,8,1,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,56.01408163265306,30.69224489795918,0.8754285714285714,39.37520079591837,89.75775510204082,28.63918367346939,0.8365510204081632,21.014271204081634,
