video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
,640x960,20,0.5,0.0,760000,15,46,39.0595918367347,32.25836734693877,0.9088775510204081,71.98506942857142,206.13285714285718,25.00326530612245,0.708795918367347,11.020788836734695
,640x640,40,0.25,0.5,760000,37,276,2.9677179487179495,inf,0.9893128205128205,95.31905387435897,57.04215384615385,31.11664102564103,0.941123076923077,56.22831972051283
,1280x640,20,0.25,0.0,1493000,16,56,21.005714285714284,34.95530612244898,0.9412244897959184,87.8963768367347,137.88755102040815,26.772244897959183,0.7907346938775512,31.227926571428572
,640x960,40,0.5,0.5,760000,41,243,3.477102564102564,inf,0.9882076923076922,94.52770552051282,303.52864102564104,23.936128205128206,0.8853128205128207,14.37547887179487
,1280x640,40,20.0,0.5,760000,16,61,39.341632653061225,32.2195918367347,0.8375510204081631,60.1451249387755,456.27355932203386,21.695084745762713,0.5779661016949151,5.5414869661016946
,960x640,40,0.5,0.5,760000,15,44,41.15979591836735,32.01938775510204,0.9062040816326531,74.48470424489796,215.41755102040818,24.898775510204082,0.7210612244897959,15.68568193877551
